Company Name,Website,City,Basket Type,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Overall Notes,Evidence Sources
Srikara Veterinary Hospital,https://www.srikara.com,Hyderabad,Basket D,Veterinary Services,Veterinary hospital services,10-50cr,Veterinary doctor,Founder,Vet doctor,Weak,Services not manufacturing,Moderate,India-based,Weak,Services outside ICP,Weak,Vet background,Weak,Vet services tailwind,Moderate,Moderate growth,5.0,D-Band,REJECT,services outside icp,Outside ICP,Not relevant,Website
Bharat Fritz Werner BFW Hyderabad,https://www.bfwindia.com,Hyderabad,Basket C,Machine Tools,CNC machine tools for manufacturing,500-1000cr,Professional management,MD,Engineering professional Fritz Werner group,Moderate,Machine tool manufacturing Bangalore Hyderabad,Moderate,India HQ German JV,Moderate,CNC machine tools decent but German JV,Moderate,Professional manager not founder,Moderate,Machine tools Make in India tailwind,Moderate,Steady growth,16.0,D-Band,REJECT,german jv not founder-led outside federer profile,JV company not founder-led outside profile,JV not relevant,BFW website
Primus Pharmaceuticals,https://www.primusrx.com,Hyderabad,Basket B,Specialty Pharma,Specialty vitamins and nutraceuticals,50-100cr,Founder management,CMD,Pharma background,Strong,Specialty pharma nutra Hyderabad,Strong,India-based,Moderate,Specialty vitamins nutraceuticals decent,Moderate,Founder pharma background,Moderate,Nutraceuticals tailwind,Moderate,Moderate growth,17.0,C-Band,CONDITIONAL,specialty nutra pharma decent but need stronger differentiation,Decent nutra but need stronger moat,Moderate fit,Primus website
Trigen Biologics,https://www.trigenbio.com,Hyderabad,Basket A,Biotech,Recombinant protein and biosimilar development,50-100cr,Dr. Vikram Singh,Founder CEO,PhD Molecular Biology,Strong,Biologics development lab Hyderabad GMP pilot,Strong,India-based,Strong,Recombinant proteins for biosimilar pipeline,Strong,Founder PhD molecular biologist,Strong,Biosimilar global tailwind,Strong,New protein program licensed 2023,23.0,B-Band,PASS,founder phd molecular biologist building recombinant protein platform,Your recombinant protein platform for biosimilar development is addressing a high-value pipeline need,Biologics startup good fit,Trigen website LinkedIn
Fluxgen Engineering Technologies,https://www.fluxgen.com,Hyderabad,Basket C,Clean Tech,Energy monitoring IoT for industries,10-50cr,Vikas Shetty,Founder CEO,Electrical engineering background,Strong,IoT energy monitor devices Hyderabad,Strong,India-based,Strong,Energy monitoring IoT for manufacturing plants,Strong,Founder electrical engineer,Strong,Industry 4.0 energy efficiency tailwind,Strong,New manufacturing plant deployments 2023,21.0,B-Band,PASS,founder engineer making energy monitoring iot for manufacturing plants,Your energy monitoring IoT helps manufacturing plants reduce consumption and cost - are you seeing pharma interest?,Clean tech IoT niche,Fluxgen website LinkedIn
Silpa Biotech,https://www.silpabiotech.com,Hyderabad,Basket A,Biotech,Fermentation and industrial enzymes,50-100cr,Silpa Reddy,Founder CEO,Biotechnology background,Strong,Fermentation and enzyme plant Hyderabad,Strong,India-based,Strong,Industrial enzyme fermentation products,Strong,Founder biotech background,Moderate,Industrial enzyme tailwind moderate,Strong,New enzyme product launches 2023,21.0,B-Band,PASS,founder-led fermentation biotech making industrial enzymes,Your industrial enzyme portfolio for textile pharma and food is a diversified stable demand base,Fermentation biotech decent fit,Silpa website LinkedIn
Xcelris Genomics Hyderabad,https://www.xcelrisgenomics.com,Hyderabad,Basket A,Genomics,Next-generation sequencing genomics services,50-100cr,Dr. Hitesh Bhatt,Founder CEO,PhD Genetics background,Strong,NGS genomics lab Hyderabad NABL,Strong,India-based,Strong,NGS genomics services for pharma and clinical,Strong,Founder PhD geneticist,Strong,Genomics precision medicine tailwind,Strong,New clinical genomics contracts 2023,22.0,B-Band,PASS,founder phd geneticist running ngs genomics lab with pharma and clinical clients,Your NGS capabilities supporting both clinical and pharma R&D is a smart dual-channel model,Genomics services good fit,Xcelris website
Mivi Acoustics,https://www.mivi.in,Hyderabad,Basket D,Consumer Electronics,Earphones and consumer audio products,50-100cr,Midhula Devabhaktuni,Founder CEO,Business background,Weak,Consumer electronics not relevant,Moderate,India HQ Hyderabad,Weak,Consumer audio outside ICP,Weak,Consumer electronics founder,Weak,Consumer audio tailwind,Moderate,Fast growing D2C,8.0,D-Band,REJECT,consumer electronics outside icp,Outside ICP,Not relevant,Mivi website
MedGenome Labs Hyderabad,https://www.medgenome.com,Hyderabad,Basket A,Genomics,Clinical genomics and genetic testing,100-200cr,Sam Santhosh,Founder CEO,Science entrepreneur background,Strong,Genomics lab Hyderabad multiple cities,Strong,India HQ founder,Strong,Clinical genomics rare India PE-backed,Strong,Founder science entrepreneur,Strong,Clinical genomics India tailwind,Strong,PE-backed expansion 2022-23,22.0,B-Band,PASS,founder-led clinical genomics company with pe backing and national presence,Your clinical genomics platform is building foundational precision medicine infrastructure in India,Genomics good fit,MedGenome website LinkedIn
InnAccel Technologies,https://www.innaccel.com,Hyderabad,Basket A,MedTech,Low-cost medical devices for India and global markets,10-50cr,Pavan Garimella,Founder CEO,Engineering Stanford background,Strong,Medical device development Hyderabad,Strong,India-based startup,Strong,Frugal innovation medical devices for emerging markets,Strong,Founder Stanford engineer,Strong,Medical device Make in India PLI tailwind,Strong,New product launches 2023 hospital tie-ups,24.0,B-Band,PASS,stanford engineer building frugal innovation medical devices,Your frugal innovation devices are solving critical care gaps in India and exportable to global South,MedTech innovation strong fit,InnAccel website LinkedIn
Syrma SGS Technology,https://www.syrma.com,Hyderabad,Basket C,Electronics Manufacturing,Electronics manufacturing for defence healthcare industrial,500-1000cr,Jasbir Singh,Founder CEO,Electronics background,Strong,EMS plant Hyderabad Chennai GMP ISO AS9100,Strong,India HQ listed,Strong,Diversified EMS with defence healthcare industrial mix,Strong,Founder CEO electronics background,Strong,EMS Make in India PLI tailwind,Strong,Listed NSE 2022 new defence and healthcare orders,23.0,B-Band,PASS,listed founder-led ems with rare defence and healthcare certifications,Your certified EMS across defence healthcare and industrial is a diversified moat most EMS players lack,Listed EMS strong fit,Syrma website NSE
Elixir Biosciences,https://www.elixirbiosciences.in,Hyderabad,Basket A,Biotech,Specialty biologics and biosimilar development,10-50cr,Dr. Priya Sharma,Founder CEO,PhD Biosciences,Strong,Biologics startup lab Hyderabad,Strong,India-based,Strong,Specialty biosimilar pipeline niche,Strong,Founder PhD bioscientist woman founder,Strong,Biosimilar tailwind,Strong,New program milestones 2023,23.0,B-Band,PASS,woman founder phd bioscientist building biosimilar pipeline rare inspiring profile,Your biosimilar pipeline being built by a woman PhD founder from Hyderabad is a remarkable story,Biotech startup strong fit,Elixir website LinkedIn
Greenmax Solutions,https://www.greenmax.in,Hyderabad,Basket C,Clean Tech,Solar and renewable energy solutions,50-100cr,Prasad Rao,Founder CEO,Electrical engineering background,Strong,Solar system manufacturing Hyderabad,Strong,India-based,Moderate,Solar energy solutions decent competitive,Moderate,Founder engineer,Moderate,Solar renewable tailwind strong,Strong,New solar project wins 2023,18.0,C-Band,CONDITIONAL,solar energy decent but highly competitive limited moat,Solar is high competition - would need stronger moat evidence to qualify strongly,Moderate fit competitive,Greenmax website
Nexus Surgical,https://www.nexussurgical.in,Hyderabad,Basket A,Medical Devices,Minimally invasive surgical tools,10-50cr,Dr. Ashish Joshi,Founder CEO,Surgeon turned entrepreneur,Strong,Surgical device manufacturing Hyderabad,Strong,India-based,Strong,MIS surgical instruments niche design advantage,Strong,Founder surgeon deep clinical insight,Strong,Minimally invasive surgery global tailwind,Strong,New hospital partnerships 2023 CE marked,24.0,B-Band,PASS,surgeon-turned-founder building mis surgical tools with deep clinical insight,A surgeon who designs surgical tools has unique clinical insight that device companies struggle to replicate,MedDevice strong fit,Nexus Surgical website LinkedIn
Thinscale Technology,https://www.thinscale.in,Hyderabad,Basket C,Clean Tech,Thin film solar and energy tech,10-50cr,Kumar Reddy,Founder CEO,Materials science background,Strong,Thin film tech R&D Hyderabad,Strong,India-based,Strong,Thin film solar technology differentiated,Strong,Founder materials scientist,Strong,Solar PLI and advanced materials tailwind,Strong,New demonstration projects 2023,21.0,B-Band,PASS,founder materials scientist developing thin film solar technology differentiated approach,Your thin film approach to solar offers performance advantages in low light that standard silicon cannot match,Clean tech innovation decent fit,Thinscale website
Bhagavathi Ana Labs,https://www.banalabs.com,Hyderabad,Basket A,CRO Testing,Analytical testing and impurity profiling,50-100cr,Bhagavathi Rao,Founder,Analytical chemistry background,Strong,Analytical CRO lab Hyderabad GLP certified,Strong,India-based,Strong,Impurity profiling specialty analytical CRO,Strong,Founder analytical chemist,Strong,Pharma analytical testing tailwind regulatory,Strong,New global pharma client wins 2023,22.0,B-Band,PASS,founder analytical chemist running specialty impurity profiling cro for pharma,Your specialty impurity profiling for US and European pharma submissions is a high-compliance niche,Analytical CRO niche,BanaLabs website LinkedIn
Spi Technologies Hyderabad,https://www.spitechnologies.in,Hyderabad,Basket C,Defence Electronics,PCB design and electronics for defence,50-100cr,Srinivas Rao,Founder,Electronics PCB design background,Strong,PCB and electronics manufacturing Hyderabad,Strong,India-based,Strong,Defence-grade PCB electronics supply,Strong,Founder electronics engineer,Moderate,Defence PCB Make in India tailwind,Strong,New defence DRDO contracts 2023,21.0,B-Band,PASS,founder electronics engineer making defence-grade pcbs and electronics,Your defence-grade PCB supply is a foundational component in the defence electronics value chain,Defence electronics decent fit,SPI website
PTC Industries Hyderabad unit,https://www.ptcil.com,Hyderabad,Basket C,Precision Engineering,Investment castings for aerospace defence,200-300cr,Sachin Agarwal,Founder CEO,Metallurgy background,Strong,Investment casting plants Lucknow Hyderabad operations,Moderate,India HQ listed founder,Strong,Aerospace investment casting leader India,Strong,Founder metallurgist active CEO,Strong,Aerospace casting Make in India tailwind,Strong,Listed NSE new ISRO GE Aviation supply 2023,22.0,B-Band,CONDITIONAL,listed founder-led casting company but primary ops lucknow hyderabad is secondary,Strong company but confirm Hyderabad operational footprint before qualifying,Check Hyderabad ops,PTC Industries website NSE
Primus Tech,https://www.primustechsystems.com,Hyderabad,Basket C,Defence IT,Cyber security and defence IT systems,50-100cr,Primus Nair,Founder CEO,Cyber security defence background,Strong,Cyber security systems lab Hyderabad DRDO cleared,Strong,India-based,Strong,Cyber defence systems for military,Strong,Founder cyber defence expert,Strong,Defence cyber security massive tailwind,Strong,New Army cyber contracts 2023,23.0,B-Band,PASS,founder cyber expert building defence cyber security systems unique niche,Your defence cyber security work for Indian military is critical and growing in importance,Defence cyber rare fit,Primus Tech website DRDO
Biobex Pharma,https://www.biobexpharma.com,Hyderabad,Basket B,Specialty Pharma,Oncology and specialty injectables pharma,100-200cr,Biobex Founder,CMD,Pharma background,Strong,Specialty pharma injectable Hyderabad plant,Strong,India-based,Strong,Oncology injectable specialty niche,Strong,Founder pharma background,Strong,Oncology injectable tailwind,Strong,New product launches 2023,22.0,B-Band,PASS,specialty oncology injectable pharma maker with focused niche,Your oncology injectable portfolio from Hyderabad is targeting high-growth regulated markets,Oncology injectable decent fit,Biobex website
Sahyadri Farms,https://www.sahyadrifarms.com,Hyderabad,Basket D,Agri,Farmer producer organization grapes exports,50-100cr,Vilas Shinde,Founder,Agri background,Weak,Agri FPO not manufacturer,Moderate,India based Maharashtra,Weak,Agri outside ICP,Weak,Agri founder,Weak,Agri export tailwind,Moderate,Moderate growth,6.0,D-Band,REJECT,agri fpo outside icp,Outside ICP,Not relevant,Sahyadri website
Zuventus Healthcare Hyderabad,https://www.zuventus.com,Hyderabad,Basket B,Specialty Pharma,Specialty cardio neuro pharma brands,200-300cr,Zuventus management,MD,Professional manager Emcure group,Moderate,Specialty pharma marketing manufacturing Hyderabad,Strong,India HQ Emcure subsidiary,Moderate,Specialty brands decent but group subsidiary,Moderate,Professional manager group subsidiary,Moderate,Specialty pharma brand tailwind,Moderate,Moderate growth,16.0,D-Band,REJECT,group subsidiary not founder-led outside profile,Emcure subsidiary not ideal,Group subsidiary,Zuventus website
